,DEPTH,VP,RHOB,PHI,AI,CHECKSHOT
410,62.484,1477.9822826388965,,,,676.5980971128608
411,62.6364,1477.9822826388965,,,,676.5980971128608
412,62.7888,1477.9822826388965,,,,676.5980971128608
413,62.9412,1477.9822826388965,,,,676.5980971128608
414,63.0936,1477.9822826388965,,,,676.5980971128608
415,63.246,1477.9822826388965,,,,676.5980971128608
416,63.3984,1477.9822826388965,,,,676.5980971128608
417,63.5508,1477.9822826388965,,,,676.5980971128608
418,63.7032,1477.9822826388965,,,,676.5980971128608
419,63.8556,1477.9822826388965,,,,676.5980971128608
420,64.008,1477.9822826388965,,,,676.5980971128608
421,64.1604,1477.9822826388965,,,,676.5980971128608
422,64.3128,1477.9822826388965,,,,676.5980971128608
423,64.4652,1477.9822826388965,,,,676.5980971128608
424,64.6176,1477.9822826388965,,,,676.5980971128608
425,64.77,1477.9822826388965,,,,676.5980971128608
426,64.9224,1477.9822826388965,,,,676.5980971128608
427,65.0748,1477.9822826388965,,,,676.5980971128608
428,65.2272,1477.9822826388965,,,,676.5980971128608
429,65.3796,1477.9822826388965,,,,676.5980971128608
430,65.532,1477.9822826388965,,,,676.5980971128608
431,65.6844,1477.9822826388965,,,,676.5980971128608
432,65.8368,1477.9822826388965,,,,676.5980971128608
433,65.9892,1477.9822826388965,,,,676.5980971128608
434,66.1416,1477.9822826388965,,,,676.5980971128608
435,66.294,1477.9822826388965,,,,676.5980971128608
436,66.4464,1477.9822826388965,,,,676.5980971128608
437,66.5988,1477.9822826388965,,,,676.5980971128608
438,66.7512,1477.9822826388965,,,,676.5980971128608
439,66.9036,1477.9822826388965,,,,676.5980971128608
440,67.056,1477.9822826388965,,,,676.5980971128608
441,67.2084,1477.9822826388965,,,,676.5980971128608
442,67.3608,1477.9822826388965,,,,676.5980971128608
443,67.5132,1477.9822826388965,,,,676.5980971128608
444,67.6656,1477.9822826388965,,,,676.5980971128608
445,67.818,1477.9822826388965,,,,676.5980971128608
446,67.9704,1477.9822826388965,,,,676.5980971128608
447,68.1228,1477.9822826388965,,,,676.5980971128608
448,68.2752,1477.9822826388965,,,,676.5980971128608
449,68.4276,1477.9822826388965,,,,676.5980971128608
450,68.58,1477.9822826388965,,,,676.5980971128608
451,68.7324,1477.9822826388965,,,,676.5980971128608
452,68.8848,1477.9822826388965,,,,676.5980971128608
453,69.0372,1477.9822826388965,,,,676.5980971128608
454,69.1896,1477.9822826388965,,,,676.5980971128608
455,69.342,1477.9822826388965,,,,676.5980971128608
456,69.4944,1477.9822826388965,,,,676.5980971128608
457,69.6468,1477.9822826388965,,,,676.5980971128608
458,69.7992,1477.9822826388965,,,,676.5980971128608
459,69.9516,1477.9822826388965,,,,676.5980971128608
460,70.104,1477.9822826388965,,,,676.5980971128608
461,70.2564,1477.9822826388965,,,,676.5980971128608
462,70.4088,1477.9822826388965,,,,676.5980971128608
463,70.5612,1477.9822826388965,,,,676.5980971128608
464,70.7136,1477.9822826388965,,,,676.5980971128608
465,70.866,1477.9822826388965,,,,676.5980971128608
466,71.0184,1477.9822826388965,,,,676.5980971128608
467,71.1708,1477.9822826388965,,,,676.5980971128608
468,71.3232,1477.9822826388965,,,,676.5980971128608
469,71.4756,1477.9822826388965,,,,676.5980971128608
470,71.628,1477.9822826388965,,,,676.5980971128608
471,71.7804,1477.9822826388965,,,,676.5980971128608
472,71.9328,1477.9822826388965,,,,676.5980971128608
473,72.0852,1477.9822826388965,,,,676.5980971128608
474,72.2376,1477.9822826388965,,,,676.5980971128608
475,72.39,1477.9822826388965,,,,676.5980971128608
476,72.5424,1477.9822826388965,,,,676.5980971128608
477,72.6948,1477.9822826388965,,,,676.5980971128608
478,72.8472,1477.9822826388965,,,,676.5980971128608
479,72.9996,1477.9822826388965,,,,676.5980971128608
480,73.152,1477.9822826388965,,,,676.5980971128608
481,73.3044,1477.9822826388965,,,,676.5980971128608
482,73.4568,1477.9822826388965,,,,676.5980971128608
483,73.6092,1477.9822826388965,,,,676.5980971128608
484,73.7616,1477.9822826388965,,,,676.5980971128608
485,73.914,1477.9822826388965,,,,676.5980971128608
486,74.0664,1477.9822826388965,,,,676.5980971128608
487,74.2188,1477.9822826388965,,,,676.5980971128608
488,74.3712,1477.9822826388965,,,,676.5980971128608
489,74.5236,1477.9822826388965,,,,676.5980971128608
490,74.676,1477.9822826388965,,,,676.5980971128608
491,74.8284,1477.9822826388965,,,,676.5980971128608
492,74.9808,1477.9822826388965,,,,676.5980971128608
493,75.1332,1477.9822826388965,,,,676.5980971128608
494,75.2856,1477.9822826388965,,,,676.5980971128608
495,75.438,1477.9822826388965,,,,676.5980971128608
496,75.5904,1477.9822826388965,,,,676.5980971128608
497,75.7428,1477.9822826388965,,,,676.5980971128608
498,75.8952,1477.9822826388965,,,,676.5980971128608
499,76.0476,1477.9822826388965,,,,676.5980971128608
500,76.2,1477.9822826388965,,,,676.5980971128608
501,76.3524,1477.9822826388965,,,,676.5980971128608
502,76.5048,1477.9822826388965,,,,676.5980971128608
503,76.6572,1477.9822826388965,,,,676.5980971128608
504,76.8096,1477.9822826388965,,,,676.5980971128608
505,76.962,1477.9822826388965,,,,676.5980971128608
506,77.1144,1477.9822826388965,,,,676.5980971128608
507,77.2668,1477.9822826388965,,,,676.5980971128608
508,77.4192,1477.9822826388965,,,,676.5980971128608
509,77.5716,1477.9822826388965,,,,676.5980971128608
510,77.724,1477.9822826388965,,,,676.5980971128608
511,77.8764,1477.9822826388965,,,,676.5980971128608
512,78.0288,1477.9822826388965,,,,676.5980971128608
513,78.1812,1477.9822826388965,,,,676.5980971128608
514,78.3336,1477.9822826388965,,,,676.5980971128608
515,78.486,1477.9822826388965,,,,676.5980971128608
516,78.6384,1477.9822826388965,,,,676.5980971128608
517,78.7908,1477.9822826388965,,,,676.5980971128608
518,78.9432,1477.9822826388965,,,,676.5980971128608
519,79.0956,1477.9822826388965,,,,676.5980971128608
520,79.248,1477.9822826388965,,,,676.5980971128608
521,79.4004,1477.9822826388965,,,,676.5980971128608
522,79.5528,1477.9822826388965,,,,676.5980971128608
523,79.7052,1477.9822826388965,,,,676.5980971128608
524,79.8576,1477.9822826388965,,,,676.5980971128608
525,80.01,1477.9822826388965,,,,676.5980971128608
526,80.1624,1477.9822826388965,,,,676.5980971128608
527,80.3148,1477.9822826388965,,,,676.5980971128608
528,80.4672,1477.9822826388965,,,,676.5980971128608
529,80.6196,1477.9822826388965,,,,676.5980971128608
530,80.772,1477.9822826388965,,,,676.5980971128608
531,80.9244,1477.9822826388965,,,,676.5980971128608
532,81.0768,1477.9822826388965,,,,676.5980971128608
533,81.2292,1477.9822826388965,,,,676.5980971128608
534,81.3816,1477.9822826388965,,,,676.5980971128608
535,81.534,1477.9822826388965,,,,676.5980971128608
536,81.6864,1477.9822826388965,,,,676.5980971128608
537,81.8388,1477.9822826388965,,,,676.5980971128608
538,81.9912,1477.9822826388965,,,,676.5980971128608
539,82.1436,1477.9822826388965,,,,676.5980971128608
540,82.296,1477.9822826388965,,,,676.5980971128608
541,82.4484,1477.9822826388965,,,,676.5980971128608
542,82.6008,1477.9822826388965,,,,676.5980971128608
543,82.7532,1477.9822826388965,,,,676.5980971128608
544,82.9056,1477.9822826388965,,,,676.5980971128608
545,83.058,1477.9822826388965,,,,676.5980971128608
546,83.2104,1477.9822826388965,,,,676.5980971128608
547,83.3628,1477.9822826388965,,,,676.5980971128608
548,83.5152,1477.9822826388965,,,,676.5980971128608
549,83.6676,1477.9822826388965,,,,676.5980971128608
550,83.82,1477.9822826388965,,,,676.5980971128608
551,83.9724,1477.9822826388965,,,,676.5980971128608
552,84.1248,1477.9822826388965,,,,676.5980971128608
553,84.2772,1477.9822826388965,,,,676.5980971128608
554,84.4296,1477.9822826388965,,,,676.5980971128608
555,84.582,1477.9822826388965,,,,676.5980971128608
556,84.7344,1477.9822826388965,,,,676.5980971128608
557,84.8868,1477.9822826388965,,,,676.5980971128608
558,85.0392,1477.9822826388965,,,,676.5980971128608
559,85.1916,1477.9822826388965,,,,676.5980971128608
560,85.344,1477.9822826388965,,,,676.5980971128608
561,85.4964,1477.9822826388965,,,,676.5980971128608
562,85.6488,1477.9822826388965,,,,676.5980971128608
563,85.8012,1477.9822826388965,,,,676.5980971128608
564,85.9536,1477.9822826388965,,,,676.5980971128608
565,86.106,1477.9822826388965,,,,676.5980971128608
566,86.2584,1477.9822826388965,,,,676.5980971128608
567,86.4108,1477.9822826388965,,,,676.5980971128608
568,86.5632,1477.9822826388965,,,,676.5980971128608
569,86.7156,1477.9822826388965,,,,676.5980971128608
570,86.868,1477.9822826388965,,,,676.5980971128608
571,87.0204,1477.9822826388965,,,,676.5980971128608
572,87.1728,1477.9822826388965,,,,676.5980971128608
573,87.3252,1477.9822826388965,,,,676.5980971128608
574,87.4776,1477.9822826388965,,,,676.5980971128608
575,87.63,1477.9822826388965,,,,676.5980971128608
576,87.7824,1477.9822826388965,,,,676.5980971128608
577,87.9348,1477.9822826388965,,,,676.5980971128608
578,88.0872,1477.9822826388965,,,,676.5980971128608
579,88.2396,1477.9822826388965,,,,676.5980971128608
580,88.392,1477.9822826388965,,,,676.5980971128608
581,88.5444,1477.9822826388965,,,,676.5980971128608
582,88.6968,1477.9822826388965,,,,676.5980971128608
583,88.8492,1477.9822826388965,,,,676.5980971128608
584,89.0016,1477.9822826388965,,,,676.5980971128608
585,89.154,1477.9822826388965,,,,676.5980971128608
586,89.3064,1477.9822826388965,,,,676.5980971128608
587,89.4588,1477.9822826388965,,,,676.5980971128608
588,89.6112,1477.9822826388965,,,,676.5980971128608
589,89.7636,1477.9822826388965,,,,676.5980971128608
590,89.916,1477.9822826388965,,,,676.5980971128608
591,90.0684,1477.9822826388965,,,,676.5980971128608
592,90.2208,1477.9822826388965,,,,676.5980971128608
593,90.3732,1477.9822826388965,,,,676.5980971128608
594,90.5256,1477.9822826388965,,,,676.5980971128608
595,90.678,1477.9822826388965,,,,676.5980971128608
596,90.8304,1477.9822826388965,,,,676.5980971128608
597,90.9828,1477.9822826388965,,,,676.5980971128608
598,91.1352,1477.9822826388965,,,,676.5980971128608
599,91.2876,1477.9822826388965,,,,676.5980971128608
600,91.44,1477.9822826388965,,,,676.5980971128608
601,91.5924,1477.9822826388965,,,,676.5980971128608
602,91.7448,1477.9822826388965,,,,676.5980971128608
603,91.8972,1477.9822826388965,,,,676.5980971128608
604,92.0496,1477.9822826388965,,,,676.5980971128608
605,92.202,1477.9822826388965,,,,676.5980971128608
606,92.3544,1477.9822826388965,,,,676.5980971128608
607,92.5068,1477.9822826388965,,,,676.5980971128608
608,92.6592,1477.9822826388965,,,,676.5980971128608
609,92.8116,1477.9822826388965,,,,676.5980971128608
610,92.964,1477.9822826388965,,,,676.5980971128608
611,93.1164,1477.9822826388965,,,,676.5980971128608
